Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8402387041773232
Random Forest,0.7984386089425124,0.6923076923076923,0.43315508021390375,0.5328947368421053,0.841716396703609
XGBoost,0.8055358410220014,0.668918918918919,0.5294117647058824,0.591044776119403,0.8439393939393939
